WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
125853,125853,Kongsfjorden,SJM,Ia,2,6.6634609268634
125858,125858,Lyngholman,NOR,Ia,1,0.143218316758815
125859,125859,Mellandsvågen,NOR,Ia,1,0.305679922434121
125861,125861,Moseøya,SJM,Ia,1,0.874389240866046
125864,125864,Olsholmen,SJM,Ia,2,0.429204854189768
125867,125867,Plankeholmane,SJM,Ia,2,1.62156002518078
125868,125868,Risøya,NOR,Ia,1,11.2166912702792
125872,125872,Selvikvågen,NOR,Ia,1,0.119564961029596
125873,125873,Skorpa,SJM,Ia,2,1.05514746060528
125881,125881,Synesvågen,NOR,Ia,1,0.447866416429978
125885,125885,Sørkapp,SJM,Ia,1,26.8871997194334
126200,126200,Creery Island,AUS,Ia,1,0.303112210276449
126288,126288,Fisherman Islands,AUS,Ia,2,0.185628082689947
126293,126293,Flinders Bay,AUS,Ia,1,0.011199691424342
126365,126365,Hamelin Pool,AUS,Ia,2,1145.23452911735
126552,126552,Low Rocks,AUS,Ia,1,0.030444707060665
126769,126769,Outer Rocks,AUS,Ia,2,0.075487347931226
126842,126842,Quagering,AUS,Ia,1,0.032715685092098
126890,126890,Rocky Island,AUS,Ia,2,0.013548225331285
126895,126895,Ronsard Rocks,AUS,Ia,2,0.022272546699158
126916,126916,Sandland Island,AUS,Ia,1,0.10125235902383
126934,126934,Seal Island (WA25645),AUS,Ia,1,0.020739388276195
126957,126957,Shoalwater Bay Islands,AUS,Ia,1,0.121949863871924
127016,127016,Sugar Loaf Rock,AUS,Ia,1,0.004116959379826
127065,127065,Thevenard Island,AUS,Ia,1,15.6651492878201
127137,127137,North Sandy Island,AUS,Ia,1,0.254775460620144
127161,127161,Investigator Island,AUS,Ia,2,0.413035826919002
127211,127211,"Boullanger, Whitlock, Favourite, Tern And Osprey Islands",AUS,Ia,1,0.569792960645732
127213,127213,"Buller, Whittell And Green Islands",AUS,Ia,1,0.274223967458421
127584,127584,Victor Island,AUS,Ia,1,0.023394914971367
127661,127661,Wedge Island,AUS,Ia,1,0.035277370086759
127679,127679,Whalebone Island,AUS,Ia,1,0.004875235887193
145500,145500,Ngaremeduu Bay Conservation Area,PLW,Ia,2,109.070245322322
150220,150220,Krunnien luonnonsuojelualue,FIN,Ia,1,38.5371176278626
151395,151395,2000885 Angödrommen,SWE,Ia,1,0.009458479135804
151396,151396,2002528 Ängskär,SWE,Ia,1,2.19766964986434
151433,151433,2000990 Bådan,SWE,Ib,2,18.0005818970919
151442,151442,2000678 Balesudden,SWE,Ia,1,3.15836736796548
151453,151453,2000865 Båtöfjärden,SWE,Ia,2,8.93848891071801
151465,151465,2000864 Bergöfjärden,SWE,Ia,2,7.32329003708523
151491,151491,2000999 Björn,SWE,Ia,2,3.06722406844865
151502,151502,2001631 Bjuröklubb,SWE,Ia,1,3.49318487277519
151521,151521,2001923 Bokö-Oxnö,SWE,Ia,1,2.70030984929493
151529,151529,2002665 Borga hage,SWE,Ia,1,0.493757592767418
151609,151609,2000168 Bullerskär,SWE,Ia,1,0.020258966186762
151643,151643,2001008 Döman,SWE,Ia,1,0.556013154725827
151684,151684,2001070 Eriksören-Svartholmen,SWE,Ia,1,0.010138341941737
151752,151752,2000867 Furuholmen,SWE,Ia,2,0.318361384011222
151764,151764,2000889 Gälnan,SWE,Ia,1,0.01563010395807
151782,151782,2000702 Gåsholma,SWE,Ia,1,3.06239950835095
151820,151820,2000698 Gran,SWE,Ia,1,4.06009819637982
151823,151823,2000995 Granholmen,SWE,Ia,1,0.764104706896623
151848,151848,2001146 Grönskär,SWE,Ia,1,0.005471090538354
151868,151868,2000005 Gymmerholmen,SWE,Ia,1,0.268564556068825
151903,151903,2000954 Halsfambaken,SWE,Ia,1,0.015023561932709
151904,151904,2000141 Hälsingholmarna,SWE,Ia,2,5.04778782897034
151906,151906,2001003 Halsören,SWE,Ia,1,0.247895366411012
151909,151909,2000623 Hammarberget,SWE,Ia,1,0.18418505491434
151920,151920,2000866 Harufjärden,SWE,Ib,2,26.2494608479375
151926,151926,2001147 Hästholmen,SWE,Ia,1,0.020628178235768
151952,151952,2001647 Hertsånger,SWE,Ia,1,2.08108000341812
151967,151967,2002526 Högbådan,SWE,Ia,1,0.054103049684411
151969,151969,2000680 Högbonden,SWE,Ia,1,2.56965651435172
151984,151984,2000710 Hölick,SWE,Ia,1,2.8556799893668
151994,151994,2000994 Holsterörarna,SWE,Ia,1,1.16333628438399
152023,152023,2001106 Huvudholmen,SWE,Ia,1,0.017070983123971
152025,152025,2002297 Huvudskär,SWE,Ia,2,19.781722886904
152072,152072,2002202 Jungfruskär,SWE,Ia,1,4.68830732269184
152081,152081,2000997 Kalix yttre skärgård,SWE,Ib,2,91.8610399434091
152090,152090,2000160 Kålsö,SWE,Ia,1,0.297439394317075
152133,152133,2001096 Klubben,SWE,Ia,1,0.467942901804726
152136,152136,2000871 Kluntarna,SWE,Ia,1,5.26514533398196
152145,152145,2000617 Västra Rossö,SWE,Ia,1,1.24936452030259
152170,152170,2001104 Kudoxa,SWE,Ia,1,0.030572400194163
152217,152217,2001140 Långgrundet,SWE,Ia,1,0.018248585850252
152220,152220,2000870 Långöhällorna,SWE,Ia,2,0.977100398886579
152244,152244,2000833 Lettholmen,SWE,Ia,1,0.010632247019798
152254,152254,2001072 Likskäret,SWE,Ia,1,0.679447829009121
152260,152260,2000884 Stora och Lilla Sandböte,SWE,Ia,1,0.024725196551111
152351,152351,2001000 Malören,SWE,Ia,1,1.18267554847379
152361,152361,2000847 Marum,SWE,Ia,1,0.08454644858107
152365,152365,2000998 Massan,SWE,Ia,1,0.417068492086031
152428,152428,2000873 Norr-Äspen,SWE,Ia,1,3.47859445401399
152442,152442,2002294 Norrholmen,SWE,Ia,1,0.031037555346391
152444,152444,2001141 Norrpada,SWE,Ia,1,0.074072808006289
